zipcode|total_pop|total_income|avg_income
62947|190|11062|58221.052631578954
62948|5510|275929|50077.858439201445
62951|2330|104565|44877.68240343348
62952|1370|70637|51559.854014598546
62954|190|9468|49831.57894736841
62956|350|16974|48497.142857142855
62957|320|11642|36381.25
62958|1040|77350|74375.0
62959|12040|730638|60684.21926910299
62960|4640|233198|50258.18965517241
62963|200|6312|31560.0
62964|480|20255|42197.916666666664
62966|6290|352252|56001.90779014309
62967|130|5685|43730.769230769234
62969|210|9351|44528.571428571435
62970|240|11348|47283.33333333333
62972|560|31771|56733.928571428565
62974|630|35310|56047.619047619046
62975|130|7007|53900.0
62976|180|7301|40561.11111111111
62977|300|16084|53613.33333333333
62979|540|30823|57079.629629629635
62982|380|16370|43078.947368421046
62983|610|28762|47150.81967213115
62984|650|33312|51249.230769230766
62985|390|19893|51007.69230769231
62987|470|25756|54800.0
62988|550|23467|42667.27272727273
62990|380|17522|46110.52631578947
62992|350|15460|44171.428571428565
62994|310|17364|56012.90322580645
62995|1640|84821|51720.12195121951
62996|230|11935|51891.30434782609
62998|160|7207|45043.75
62999|640|24845|38820.3125
99999|36540|2931148|80217.5150519978
0|3116510|196850595|63163.79379498221
46001|5010|250806|50061.077844311374
46011|8150|486088|59642.69938650307
46012|8910|436997|49045.67901234568
46013|9010|372750|41370.69922308546
46016|6840|186571|27276.46198830409
46017|2980|138780|46570.46979865772
46030|1450|92850|64034.48275862069
46031|1070|90233|84329.90654205607
46032|23860|4322757|181171.7099748533
46033|18020|2834969|157323.47391786904
46034|3630|298672|82278.78787878789
46035|580|29833|51436.206896551725
46036|5140|231078|44956.8093385214
46037|20540|2448624|119212.4634858812
46038|20830|1707685|81981.99711953913
46039|330|17799|53936.36363636364
46040|6720|767360|114190.4761904762
46041|10840|528059|48713.92988929889
46044|1380|76658|55549.27536231884
46048|890|38662|43440.449438202246
46049|370|20733|56035.13513513513
46050|780|47744|61210.25641025641
46051|1430|79241|55413.28671328671
46052|11130|676004|60737.10691823899
46055|6630|699572|105516.13876319758
46056|1170|66592|56916.23931623932
46057|500|29599|59198.0
46058|990|59930|60535.35353535353
46060|20290|1502810|74066.535239034
46062|17680|1828501|103422.00226244344
46064|6820|513521|75296.33431085043
46065|1620|97339|60085.8024691358
46068|1310|85191|65031.29770992367
46069|3300|222716|67489.69696969696
46070|1010|54572|54031.683168316835
46071|1570|99381|63300.0
46072|4410|263319|59709.52380952381
46074|17860|2092959|117186.95408734602
46075|3370|282313|83772.40356083086
46076|740|43743|59112.16216216216
46077|14770|2707088|183282.87068381853
46104|430|21865|50848.83720930233
46105|880|49406|56143.181818181816
46106|3760|422991|112497.60638297872
46107|6440|276845|42988.35403726708
46110|230|16030|69695.65217391304
46112|19200|1547151|80580.78125
46113|7470|406451|54411.11111111111
46115|900|53838|59820.0
46117|320|20082|62756.25
46118|2420|150820|62322.31404958678
46120|2810|148828|52963.70106761566
46121|2490|166827|66998.79518072288
46122|7820|555342|71015.60102301791
46123|19120|1477344|77266.94560669456
46124|3590|181747|50625.90529247911
46126|2310|140432|60793.07359307359
46127|170|8768|51576.470588235294
46128|1020|58418|57272.54901960784
46130|1230|82491|67065.85365853658
46131|15200|889453|58516.64473684211
46133|410|18203|44397.56097560976
46135|7810|407901|52228.0409731114
46140|20400|1324529|64927.89215686274
46142|16000|1088411|68025.6875
46143|28520|2206680|77373.07152875174
46146|100|3876|38760.0
46147|1390|84665|60910.07194244604
46148|2280|126133|55321.491228070176
46149|960|69300|72187.5
46150|360|20929|58136.11111111111
46151|15040|909003|60439.02925531915
46156|630|34601|54922.222222222226
46157|1890|118196|62537.56613756614
46158|11830|755316|63847.506339814034
46160|2950|174406|59120.6779661017
46161|1200|72508|60423.33333333333
46162|250|19348|77392.0
46163|6530|559554|85689.73966309341
46164|2160|138228|63994.444444444445
46165|720|50712|70433.33333333333
46166|1040|48861|46981.730769230766
46167|3490|274560|78670.48710601719
46168|17040|1131291|66390.31690140844
46171|820|43724|53321.9512195122
46172|1100|57503|52275.45454545455
46173|4910|243092|49509.572301425666
46175|280|12350|44107.142857142855
46176|13400|720844|53794.32835820896
46180|480|29350|61145.83333333333
46181|2460|184202|74878.86178861788
46182|880|51419|58430.681818181816
46184|6090|335144|55031.85550082102
46186|840|52523|62527.380952380954
46201|13040|444798|34110.27607361963
46202|9150|730297|79813.87978142076
46203|16930|712858|42106.20200826934
46204|4490|623180|138792.87305122495
46205|13540|832636|61494.53471196455
46208|9160|594424|64893.44978165939
46214|12460|534432|42891.81380417336
46216|1250|77902|62321.6
46217|16710|1007033|60265.290245362055
46218|12390|323472|26107.506053268764
46219|17050|745204|43706.97947214076
46220|19760|1914811|96903.39068825913
46221|12480|527807|42292.22756410256
46222|14460|423771|29306.431535269712
46224|17120|634367|37054.14719626168
46225|2910|106257|36514.43298969072
46226|19650|803648|40898.11704834606
46227|26720|1152438|43130.16467065868
46228|7790|548456|70405.13478818999
46229|13800|572596|41492.46376811594
46231|5200|258229|49659.42307692308
46234|13440|833763|62035.9375
46235|14760|518677|35140.71815718157
46236|13500|1290260|95574.8148148148
46237|21480|1309297|60954.236499068895
46239|15060|924063|61358.76494023904
46240|11230|1439977|128225.91273374888
46241|14130|484393|34281.17480537863
46250|10540|859368|81533.96584440228
46254|19070|819336|42964.65652857892
46256|12080|1200026|99339.90066225165
46259|6260|585257|93491.53354632591
46260|16570|1456047|87872.48038624019
46268|13390|676032|50487.82673637042
46278|4520|660434|146113.71681415927
46280|4260|375934|88247.41784037558
46290|130|33197|255361.53846153847
46303|7960|524294|65866.08040201005
46304|13060|1062927|81387.97856049005
46307|33140|2602721|78537.14544357272
46310|6560|383788|58504.26829268293
46311|11250|1012836|90029.86666666665
46312|10050|321724|32012.33830845771
46319|8920|482718|54116.36771300448
46320|4960|150606|30364.112903225807
46321|11790|1161588|98523.15521628497
46322|12600|764613|60683.571428571435
46323|10150|417367|41119.901477832515
46324|9930|413145|41605.74018126888
46327|4450|157736|35446.29213483146
46340|600|35940|59900.0
46341|5050|342382|67798.41584158417
46342|15830|863009|54517.308907138344
46347|2260|149733|66253.53982300885
46348|510|31755|62264.705882352944
46349|1560|93280|59794.8717948718
46350|20750|1237915|59658.55421686747
46356|9110|612299|67211.74533479693
46360|19840|1012297|51023.034274193546
46365|520|30357|58378.84615384616
46366|2530|126730|50090.90909090909
46368|19550|1089102|55708.54219948849
46371|1770|107396|60675.70621468927
46373|8480|885363|104406.0141509434
46374|460|25750|55978.260869565216
46375|12700|1061427|83576.92913385827
46381|120|5495|45791.666666666664
46382|1040|69125|66466.34615384616
46383|19030|1401053|73623.38413032054
46385|20280|1819840|89735.70019723868
46390|1370|84237|61486.861313868605
46391|3050|200021|65580.65573770492
46392|3660|223103|60957.103825136604
46394|5450|270261|49589.17431192661
46402|1790|45552|25448.044692737432
46403|4900|222736|45456.32653061225
46404|6380|202769|31781.97492163009
46405|5160|194070|37610.46511627907
46406|3440|100227|29135.75581395349
46407|3720|98270|26416.666666666668
46408|6230|216070|34682.182985553765
46409|2710|78542|28982.28782287823
46410|18680|903410|48362.41970021413
46501|1720|80992|47088.37209302326
46504|1570|82544|52575.796178343946
46506|4780|300162|62795.397489539755
46507|4530|532771|117609.49227373068
46510|1560|87563|56130.12820512821
46511|1910|119694|62667.01570680628
46514|20620|1260970|61152.76430649855
46516|14890|712384|47843.11618535929
46517|10640|562619|52877.72556390978
46524|1020|51099|50097.058823529405
46526|15240|881964|57871.65354330709
46528|12010|752777|62679.18401332223
46530|14850|1823245|122777.44107744108
46531|670|33075|49365.67164179105
46532|780|37035|47480.769230769234
46534|4950|237027|47884.24242424242
46536|1520|94083|61896.71052631579
46538|2050|170484|83162.92682926828
46539|1060|53621|50585.84905660377
46540|5650|450543|79742.12389380531
46542|2140|126682|59197.19626168224
46543|1650|108774|65923.63636363637
46544|15480|775117|50072.15762273902
46545|12830|663784|51736.86671862822
46550|5890|406390|68996.60441426146
46552|3150|192683|61169.206349206346
46553|1720|109049|63400.58139534884
46554|2100|123194|58663.80952380952
46555|1530|80483|52603.26797385621
46556|540|37534|69507.4074074074
46561|6700|409838|61169.850746268654
46562|2280|119345|52344.29824561404
46563|10710|569878|53209.89729225023
46565|3830|241479|63049.34725848564
46567|4860|388522|79942.79835390946
46570|490|24387|49769.38775510204
46571|2440|137627|56404.50819672131
46573|1730|121564|70268.20809248554
46574|3830|203539|53143.34203655353
46580|10520|639857|60822.90874524714
46582|6530|438895|67212.09800918835
46590|2100|167883|79944.28571428571
46601|2140|74334|34735.51401869159
46613|4890|142237|29087.321063394684
46614|15190|973186|64067.54443712969
46615|7120|317906|44649.7191011236
46616|2770|119300|43068.59205776173
46617|4420|361537|81795.70135746607
46619|9590|362277|37776.538060479674
46628|12460|601883|48305.216693418944
46635|3070|192835|62812.70358306189
46637|7450|426700|57275.167785234895
46701|3590|195532|54465.738161559886
46702|1030|51068|49580.58252427185
46703|8570|517869|60428.12135355893
46705|840|38112|45371.428571428565
46706|9730|618124|63527.64645426516
46710|2240|130395|58212.053571428565
46711|3150|176418|56005.71428571429
46714|7070|438199|61980.05657708628
46721|2200|113251|51477.72727272727
46723|3740|232980|62294.11764705882
46725|11950|723490|60543.09623430962
46730|650|49211|75709.23076923077
46731|300|18160|60533.33333333333
46732|1410|63797|45246.09929078014
46733|9000|495735|55081.666666666664
46737|3530|234908|66546.17563739377
46738|3900|187453|48064.8717948718
46740|1520|71179|46828.289473684206
46741|1860|119456|64223.655913978495
46742|1630|105972|65013.496932515336
46743|1040|55943|53791.34615384616
46745|970|62308|64235.051546391755
46746|1850|99393|53725.94594594595
46747|1210|64838|53585.12396694215
46748|3300|316111|95791.21212121213
46750|12430|640094|51495.897023330646
46755|7370|377348|51200.54274084125
46759|260|12626|48561.53846153846
46760|580|29813|51401.72413793104
46761|5400|280629|51968.33333333333
46763|790|53288|67453.16455696203
46764|660|37815|57295.45454545455
46765|2580|226199|87674.03100775194
46766|260|12801|49234.61538461538
46767|3830|187957|49074.93472584856
46770|1270|78403|61734.645669291334
46772|1240|60654|48914.51612903226
46773|1770|105149|59406.21468926554
46774|8650|447756|51763.69942196532
46776|750|34105|45473.33333333333
46777|3170|183650|57933.75394321767
46779|980|53310|54397.95918367346
46781|420|22185|52821.428571428565
46783|3530|349533|99017.84702549576
46784|1120|69485|62040.178571428565
46785|680|38626|56802.94117647059
46787|1790|95842|53543.01675977654
46788|1480|114278|77214.86486486487
46791|420|29972|71361.90476190476
46792|1880|100776|53604.255319148935
46793|2030|113145|55736.45320197044
46794|610|31083|50955.73770491803
46795|2950|201111|68173.22033898305
46797|1850|108812|58817.29729729729
46798|620|35228|56819.35483870968
46802|4440|198662|44743.6936936937
46803|3900|107120|27466.666666666668
46804|14460|1196854|82769.98616874135
46805|9980|417818|41865.531062124246
46806|10130|283738|28009.674234945705
46807|7640|338961|44366.62303664922
46808|9520|363224|38153.78151260504
46809|4460|190348|42678.923766816144
46814|7220|1262687|174887.39612188365
46815|13550|687710|50753.50553505535
46816|8160|303412|37182.843137254895
46818|9960|605251|60768.17269076305
46819|4580|212744|46450.65502183406
46825|14570|816766|56058.06451612903
46835|18380|1131178|61543.96082698586
46845|12910|1379018|106817.81564678544
46901|17480|859794|49187.29977116705
46902|17840|971569|54460.14573991032
46910|1490|75408|50609.39597315436
46911|620|34631|55856.45161290323
46913|620|39171|63179.03225806452
46914|920|44744|48634.78260869565
46915|360|18872|52422.222222222226
46917|830|45020|54240.96385542169
46919|1020|58308|57164.705882352944
46920|500|31910|63820.0
46923|3810|201870|52984.25196850394
46926|770|41762|54236.36363636364
46928|2150|102805|47816.27906976744
46929|1500|82890|55260.0
46930|100|3802|38020.0
46932|1640|93690|57128.04878048781
46933|3080|132525|43027.5974025974
46936|2820|181354|64309.929078014175
46938|1370|63465|46324.81751824818
46939|890|45376|50984.26966292135
46940|1100|62187|56533.63636363637
46941|520|28826|55434.61538461538
46943|140|4401|31435.714285714286
46947|12890|589509|45733.82467028704
46950|310|16313|52622.58064516129
46951|950|45693|48097.89473684211
46952|9010|468287|51974.139844617086
46953|8800|335420|38115.90909090909
46960|520|24267|46667.30769230769
46962|4090|246817|60346.45476772616
46970|10580|492600|46559.54631379962
46974|800|40870|51087.5
46975|6480|354876|54764.81481481482
46978|990|50275|50782.82828282828
46979|2370|164559|69434.17721518988
46982|1220|63543|52084.4262295082
46985|660|32105|48643.93939393939
46986|860|50322|58513.953488372084
46988|370|16767|45316.21621621621
46989|1640|88634|54045.12195121951
46990|390|24146|61912.820512820515
46991|740|34763|46977.027027027034
46992|7650|451941|59077.25490196078
46994|1260|72323|57399.206349206346
46996|3130|162034|51768.05111821087
47001|5050|270251|53515.0495049505
47003|410|18803|45860.9756097561
47006|6030|479040|79442.78606965175
47010|120|7576|63133.33333333333
47011|400|22009|55022.5
47012|4720|270758|57363.983050847455
47016|470|28836|61353.1914893617
47017|280|14727|52596.428571428565
47018|2060|110101|53447.087378640776
47020|470|23057|49057.44680851064
47022|1610|123872|76939.13043478261
47023|720|34824|48366.666666666664
47024|1200|53503|44585.83333333333
47025|11210|753739|67238.09099018732
47030|710|31751|44719.71830985916
47031|2460|126603|51464.63414634146
47032|1710|91285|53383.04093567252
47036|550|39114|71116.36363636365
47037|1960|96096|49028.571428571435
47038|480|23324|48591.666666666664
47040|2380|132215|55552.52100840336
47041|2950|164774|55855.593220338975
47042|1970|97925|49708.12182741117
47043|2250|103214|45872.88888888889
47060|3350|227382|67875.22388059701
47102|2770|116369|42010.469314079426
47106|2230|151439|67909.86547085202
47108|960|41461|43188.541666666664
47110|200|8132|40660.0
47111|7640|469686|61477.225130890045
47112|7940|461062|58068.26196473552
47114|210|10118|48180.95238095238
47115|1130|61209|54167.256637168146
47116|320|12474|38981.25
47117|1990|112488|56526.633165829146
47118|1400|58119|41513.571428571435
47119|5900|667934|113209.15254237287
47120|420|19554|46557.142857142855
47122|5330|394902|74090.4315196998
47124|2340|190969|81610.68376068377
47125|710|35407|49869.01408450704
47126|2110|139715|66215.63981042654
47129|9320|377035|40454.39914163089
47130|23510|1253688|53325.73373032752
47135|590|29801|50510.16949152543
47136|2310|173669|75181.38528138529
47137|580|28104|48455.1724137931
47138|1950|97481|49990.25641025641
47140|1150|47315|41143.47826086957
47141|760|40944|53873.68421052632
47142|370|16746|45259.45945945945
47143|1790|113977|63674.30167597765
47145|880|39316|44677.27272727273
47147|460|24877|54080.434782608696
47150|23630|1251874|52978.1633516716
47161|1740|90885|52232.75862068966
47162|450|21606|48013.33333333333
47163|710|39134|55118.30985915493
47164|1620|88783|54804.32098765432
47165|2660|132874|49952.63157894737
47166|710|35802|50425.35211267605
47167|7000|339099|48442.71428571429
47170|6610|314297|47548.71406959153
47172|9140|665216|72780.74398249453
47175|390|17570|45051.28205128205
47177|600|33915|56525.0
47201|21680|1600028|73802.0295202952
47203|13020|969951|74497.00460829493
47220|2520|150801|59841.666666666664
47223|650|29425|45269.230769230766
47224|220|9450|42954.545454545456
47227|720|34491|47904.166666666664
47229|1460|71885|49236.30136986301
47230|870|41572|47783.908045977005
47231|510|22923|44947.058823529405
47232|1160|66188|57058.62068965517
47234|690|40832|59176.811594202896
47235|870|46391|53322.988505747126
47240|10470|582936|55676.79083094556
47243|2340|117266|50113.67521367522
47244|350|19348|55280.0
47246|1950|109543|56175.89743589744
47250|10070|560627|55672.98907646474
47260|800|35302|44127.5
47264|590|28625|48516.949152542365
47265|9180|434684|47351.19825708061
47270|330|16422|49763.63636363637
47272|890|43186|48523.595505617974
47273|880|48288|54872.72727272727
47274|15050|852058|56615.14950166113
47281|690|41762|60524.637681159424
47283|1660|80540|48518.07228915663
47302|11310|407983|36072.76746242264
47303|9270|382837|41298.489751887806
47304|13910|853943|61390.58231488137
47305|1340|42943|32047.014925373132
47320|1890|104099|55078.835978835974
47325|290|12798|44131.03448275862
47326|780|36743|47106.41025641026
47327|1940|90914|46862.886597938144
47330|2540|143605|56537.40157480315
47331|9700|452055|46603.60824742268
47334|1560|88037|56433.97435897436
47336|1580|69245|43825.94936708861
47338|1260|62260|49412.69841269841
47339|290|14136|48744.8275862069
47340|1350|66867|49531.11111111111
47341|1010|50335|49836.63366336634
47342|1190|66932|56245.3781512605
47345|610|33637|55142.62295081967
47346|1810|94811|52381.767955801115
47348|4310|201642|46784.686774942
47352|440|23069|52429.545454545456
47353|2680|131526|49076.86567164179
47354|490|24343|49679.59183673469
47355|1210|55811|46124.79338842975
47356|2750|152863|55586.545454545456
47357|540|27605|51120.370370370365
47358|420|20115|47892.85714285714
47359|1370|63693|46491.24087591241
47360|680|37984|55858.82352941177
47362|12210|576967|47253.64455364456
47368|1240|64013|51623.38709677419
47369|540|23024|42637.03703703704
47371|5350|268693|50222.990654205605
47373|960|41190|42906.25
47374|19730|942636|47776.78661936137
47380|870|38991|44817.24137931034
47383|1330|76189|57284.96240601504
47384|970|50224|51777.319587628874
47385|790|38955|49310.12658227848
47386|570|32084|56287.71929824562
47387|340|15645|46014.705882352944
47390|2230|92061|41282.959641255606
47393|660|35064|53127.27272727273
47394|3630|170481|46964.46280991736
47396|3590|263941|73521.16991643455
47401|18190|1579723|86845.6844420011
47403|15420|814278|52806.61478599221
47404|9680|523778|54109.29752066116
47406|200|1777|8885.0
47408|7860|645892|82174.55470737914
47421|12810|669880|52293.52068696331
47424|4110|226234|55044.768856447685
47427|420|18030|42928.571428571435
47429|3770|202014|53584.61538461538
47431|620|28210|45500.0
47432|2150|93106|43305.11627906977
47433|1780|91512|51411.235955056174
47436|710|38482|54200.0
47438|1840|86129|46809.239130434784
47441|4080|198923|48755.63725490196
47443|490|23162|47269.38775510204
47446|4240|199135|46965.80188679245
47448|3910|248906|63658.82352941177
47449|230|12385|53847.82608695652
47451|610|27424|44957.37704918033
47452|2140|98084|45833.64485981309
47453|190|9468|49831.57894736841
47454|3280|144606|44087.19512195122
47456|550|30014|54570.90909090909
47459|1620|87385|53941.35802469136
47460|5390|269048|49916.141001855285
47462|2240|128243|57251.33928571429
47465|300|16731|55770.0
47468|640|47239|73810.9375
47469|840|41341|49215.47619047619
47470|710|35297|49714.08450704226
47471|1190|58936|49526.050420168074
47501|8190|416115|50807.69230769231
47512|1540|67293|43696.75324675325
47513|990|49248|49745.45454545455
47514|160|7502|46887.5
47515|380|18428|48494.73684210527
47516|590|37590|63711.86440677966
47519|260|14559|55996.15384615385
47520|1350|63598|47109.629629629635
47521|500|30302|60604.0
47522|110|6109|55536.36363636364
47523|1580|80071|50677.84810126582
47524|210|10672|50819.04761904762
47525|160|10574|66087.5
47527|1000|52732|52732.0
47528|320|17036|53237.5
47529|430|21866|50851.16279069768
47531|450|27157|60348.88888888889
47532|2360|184719|78270.7627118644
47537|400|20679|51697.5
47541|620|38191|61598.38709677419
47542|4930|279634|56720.89249492901
47546|11340|832441|73407.49559082893
47550|370|22868|61805.40540540541
47551|260|15766|60638.46153846154
47553|4000|220161|55040.25
47557|630|36034|57196.8253968254
47558|2030|115889|57088.17733990148
47561|680|40495|59551.470588235294
47562|2020|130768|64736.63366336634
47564|620|37151|59920.967741935485
47567|2640|140569|53245.83333333333
47568|380|18020|47421.052631578954
47575|550|30147|54812.72727272727
47576|180|8628|47933.33333333333
47577|490|23842|48657.142857142855
47578|330|16775|50833.33333333333
47579|1360|105202|77354.41176470589
47580|130|8127|62515.38461538462
47581|1580|76668|48524.05063291139
47585|210|11014|52447.619047619046
47586|5300|269320|50815.09433962264
47588|290|13989|48237.93103448276
47590|360|20743|57619.444444444445
47591|11330|620607|54775.551632833194
47597|480|28320|59000.0
47598|1470|73562|50042.1768707483
47601|6550|389342|59441.526717557244
47610|2630|138008|52474.5247148289
47611|530|27141|51209.43396226415
47612|420|23733|56507.142857142855
47613|1250|95382|76305.6
47615|710|36396|51261.97183098592
47616|130|6128|47138.46153846154
47619|790|46314|58625.3164556962
47620|6070|398016|65571.00494233938
47630|17920|1680647|93786.10491071428
47631|960|62863|65482.291666666664
47633|1300|88378|67983.07692307692
47634|1030|54332|52749.5145631068
47635|2480|136916|55208.06451612903
47637|690|33593|48685.50724637681
47638|1700|119949|70558.23529411765
47639|2280|180231|79048.6842105263
47640|420|23719|56473.80952380952
47648|2130|126455|59368.54460093897
